name,AAV,PTS,I_F_xGoals,Age,Predicted_AAV,Difference
Erik Gustafsson,2000000.0,18,3.41,32.0,2519230.042133162,519230.0421331618
Michael Pezzetta,812500.0,0,1.82,26.0,846247.1832229252,33747.183222925174
Casey Mittelstadt,5750000.0,34,14.29,26.0,5151819.336219348,-598180.663780652
Tye Kartye,1250000.0,13,5.52,23.0,1409783.2802246653,159783.2802246653
Nino Niederreiter,4000000.0,37,22.39,32.0,4722923.477359299,722923.4773592986
Mathieu Joseph,2950000.0,14,7.79,27.0,2124821.3946053735,-825178.6053946265
Alex Tuch,4750000.0,67,31.87,28.0,6121087.653740585,1371087.6537405849
Nicolas Roy,3000000.0,31,15.49,27.0,3593386.6419135416,593386.6419135416
Josh Anderson,5500000.0,27,17.17,30.0,4118814.44486053,-1381185.55513947
Joey Anderson,800000.0,1,1.69,26.0,832792.5013789297,32792.50137892971
Trevor Lewis,800000.0,12,5.7,38.0,1766914.8960999683,966914.8960999683
Bobby McMann,1350000.0,34,17.04,28.0,2827863.685135414,1477863.685135414
Matty Beniers,7142857.0,43,17.68,22.0,5538914.649980614,-1603942.350019386
Morgan Rielly,7500000.0,41,5.48,30.0,6674246.633906492,-825753.366093508
Jake Middleton,4350000.0,21,4.97,29.0,4551383.7389547,201383.7389546996
Morgan Geekie,5500000.0,57,20.44,26.0,5755753.682329624,255753.68232962396
Dakota Joshua,3250000.0,14,10.74,28.0,2522501.7460499457,-727498.2539500543
Sam Lafferty,2000000.0,7,4.5,29.0,1658279.8076454315,-341720.1923545685
Jalen Chatfield,3000000.0,18,4.56,28.0,2285845.9595410377,-714154.0404589623
Mitchell Stephens,775000.0,3,2.02,27.0,897342.9069086127,122342.9069086127
Patrick Kane,3000000.0,59,18.94,36.0,3989056.1068531396,989056.1068531396
John Tavares,4380000.0,74,32.37,34.0,6138749.329430632,1758749.3294306323
Tom Wilson,6500000.0,65,28.96,30.0,6374234.5787594905,-125765.42124050949
